,fire_size_class,latitude,longitude,discovery_month,disc_dow,Vegetation,remoteness,elevation,Temp,Wind,Humidity,Precipitation
40346,B,33.35855139,-111.3039176,Jul,4,16,0.410566217,838,18.65,1.5,17.83333333,0
40348,B,33.91805555,-116.9680556,Sep,4,16,0.466903852,799,21.4566412,1.877688122,58.58048814,0
40349,B,35.9517,-85.1867,Feb,1,15,0.161880159,547,4.889674573,3.283318766,73.42103073,41.9
40350,B,37.18611111,-120.4880556,Jul,1,0,0.500736284,45,26.52553452,3.464120184,45.01016748,0
40351,C,33.117142,-86.509421,Jul,0,16,0.175634028,163,24.4213539,1.452504434,82.4670672,233.3666667
40352,C,35.26795,-80.464216,Apr,3,15,0.12016133,170,10.45745015,1.877475086,60.6902257,0
40353,B,33.98104696,-88.97613275,Nov,6,16,0.19748058,116,18.2246391,1.781523087,63.59925134,0
40355,B,33.254402,-97.019722,Jul,4,16,0.272580305,166,26.48920493,5.484183545,71.17171845,82.1
40356,B,32.84072999,-95.51806999,Jun,2,12,0.258766123,135,26.3644378,0.199427694,71.65251432,0
40358,C,43.75792,-116.46978,Jul,6,9,0.457048508,840,23.99940995,2.51779544,41.46258387,0
40359,C,43.44552,-100.30767,Jun,5,9,0.298561397,640,20.88785199,5.155064381,58.34890385,15.23333333
40361,B,32.4717,-89.6542,Apr,5,12,0.204718004,127,15.64166415,3.384761948,72.33935899,172.2
40364,B,46.1667,-100.6337,Apr,6,9,0.300903265,487,3.618764687,5.353509866,67.02488475,38.33333333
40365,B,29.056395,-98.603711,Mar,4,12,0.290720121,153,18.73176257,3.243495844,56.74282561,0.633333333
40366,B,31.61221,-93.46272,Mar,0,12,0.24047907,82,15.58260475,3.605788423,69.85636092,0
40367,B,35.7833,-81.2667,Jun,0,15,0.126953708,343,24.24138646,2.276131535,72.70421474,10.56666667
40368,B,44.02256316,-73.54974011,Apr,4,15,0.055834076,461,4.62095216,3.275912293,70.48139293,108.4666667
40369,B,37.20694444,-119.7161111,Aug,4,0,0.492835125,554,28.69238095,2.796891534,38.08809524,0
40370,B,40.13611111,-122.1888889,Jun,1,14,0.516729523,86,21.60015212,3.198763228,49.61824238,0
40371,B,37.7697,-82.8388,Mar,6,0,0.13982053,257,8.402008184,2.215593722,64.99350824,0
40372,C,35.42347,-92.2781,Mar,3,15,0.226921704,238,3.097982035,1.226654006,65.50767691,0
