,elevation,Veg Broadleaf Forest,Veg Desert,Veg Grassland,Veg Needleleaf Forest,Veg Rock,Veg Shrubland
377,124.0,0,0,0,0,0,1
378,604.0,0,0,0,0,0,0
379,34.0,0,0,0,0,0,1
380,780.0,0,0,0,0,0,0
381,85.0,0,0,0,0,0,1
382,77.0,0,0,0,0,0,1
383,292.0,0,0,0,0,0,1
384,44.0,0,0,0,0,0,1
385,27.0,1,0,0,0,0,0
386,621.0,0,0,0,0,1,0
387,176.0,0,0,0,0,0,0
388,111.0,0,0,0,0,0,1
389,11.0,1,0,0,0,0,0
390,124.0,0,0,0,0,0,1
391,504.0,0,0,0,0,0,1
392,234.0,0,0,1,0,0,0
393,383.0,0,0,0,0,1,0
394,189.0,0,0,0,0,1,0
395,43.0,0,0,0,0,0,1
396,191.0,1,0,0,0,0,0
397,442.0,0,0,0,0,0,0
398,34.0,0,0,0,0,0,1
399,920.0,0,0,1,0,0,0
400,254.0,0,0,0,0,0,0
401,139.0,0,0,0,0,1,0
402,85.0,0,0,0,0,0,1
403,72.0,0,0,0,0,0,1
404,846.0,0,0,0,0,0,1
405,125.0,0,0,0,0,0,1
406,2057.0,0,0,0,0,1,0
407,68.0,0,0,0,0,0,1
408,284.0,0,0,0,0,0,0
409,2799.0,0,0,0,0,0,0
410,148.0,0,0,0,0,0,1
411,339.0,0,0,0,0,0,0
412,392.0,0,0,0,0,1,0
413,119.0,1,0,0,0,0,0
414,117.0,1,0,0,0,0,0
415,918.0,0,0,0,0,0,0
416,190.0,0,0,0,0,0,1
417,120.0,1,0,0,0,0,0
418,104.0,0,0,0,0,1,0
419,250.0,0,0,0,0,0,1
420,29.0,0,0,0,0,0,1
421,26.0,0,0,0,0,1,0
422,17.0,0,0,0,0,0,1
423,22.0,0,0,0,0,0,0
424,353.0,0,0,0,0,1,0
425,251.0,1,0,0,0,0,0
426,193.0,0,0,0,0,0,0
427,830.0,0,0,0,0,1,0
428,1229.0,0,0,0,0,1,0
429,1057.0,0,0,0,0,1,0
430,670.0,0,0,0,0,1,0
431,316.0,0,0,0,0,0,0
432,1073.0,0,0,0,0,1,0
433,97.0,0,0,1,0,0,0
434,1585.0,0,0,0,0,1,0
435,412.0,0,0,1,0,0,0
436,180.0,0,0,0,0,0,1
437,320.0,0,0,0,0,0,0
438,383.0,0,0,0,0,0,0
439,134.0,1,0,0,0,0,0
440,118.0,0,0,0,0,0,1
441,1710.0,1,0,0,0,0,0
442,64.0,0,0,0,0,0,0
443,220.0,0,0,0,0,1,0
444,102.0,1,0,0,0,0,0
445,478.0,0,0,0,0,1,0
446,213.0,0,0,0,0,1,0
447,561.0,0,0,0,0,0,0
448,14.0,0,0,0,0,0,1
449,37.0,0,0,0,0,0,1
450,239.0,1,0,0,0,0,0
451,65.0,0,0,0,0,0,1
452,117.0,0,0,0,0,0,1
453,748.0,0,0,0,0,0,1
454,16.0,1,0,0,0,0,0
455,181.0,0,0,0,0,0,1
456,1168.0,0,0,1,0,0,0
457,485.0,0,0,0,0,0,1
458,71.0,0,0,0,0,0,1
459,0.0,0,0,0,0,0,0
460,75.0,1,0,0,0,0,0
461,264.0,1,0,0,0,0,0
462,4.0,1,0,0,0,0,0
463,846.0,1,0,0,0,0,0
464,83.0,0,0,0,0,0,1
465,1292.0,0,0,1,0,0,0
466,476.0,0,0,0,0,0,1
467,576.0,0,0,0,0,0,1
468,224.0,1,0,0,0,0,0
469,106.0,0,0,0,0,0,1
470,299.0,0,0,0,0,0,0
471,106.0,0,0,0,0,0,1
472,520.0,0,0,0,0,1,0
473,396.0,0,0,0,0,0,1
474,205.0,1,0,0,0,0,0
475,148.0,0,0,0,0,0,1
476,128.0,0,0,0,0,0,1
477,101.0,1,0,0,0,0,0
478,337.0,0,0,0,0,1,0
479,874.0,0,0,0,1,0,0
480,886.0,0,0,0,0,0,1
481,292.0,1,0,0,0,0,0
482,115.0,1,0,0,0,0,0
483,107.0,0,0,0,0,1,0
484,597.0,0,0,0,0,1,0
485,425.0,0,0,1,0,0,0
486,157.0,1,0,0,0,0,0
487,1024.0,0,0,1,0,0,0
488,243.0,0,0,1,0,0,0
489,30.0,0,0,0,0,0,1
490,282.0,0,0,0,0,0,0
491,134.0,0,0,0,0,0,1
492,143.0,0,0,0,0,1,0
493,47.0,0,0,0,0,1,0
494,102.0,1,0,0,0,0,0
495,2255.0,0,0,0,0,0,0
496,1491.0,0,0,0,0,0,0
497,1711.0,0,0,0,0,0,0
498,473.0,0,0,0,0,0,1
499,328.0,0,0,0,0,0,0
500,44.0,0,0,0,0,0,1
501,154.0,0,0,0,0,0,0
502,167.0,0,0,1,0,0,0
503,525.0,0,0,0,0,1,0
504,118.0,1,0,0,0,0,0
505,287.0,0,0,0,0,0,0
506,375.0,1,0,0,0,0,0
507,125.0,0,0,0,0,0,1
508,103.0,0,0,0,0,0,1
509,-2.0,0,0,0,0,0,1
510,501.0,0,0,0,0,1,0
511,116.0,0,0,1,0,0,0
512,195.0,1,0,0,0,0,0
513,145.0,0,0,0,0,0,1
514,1760.0,0,1,0,0,0,0
515,74.0,0,0,0,0,0,1
516,143.0,0,0,0,0,0,1
517,240.0,1,0,0,0,0,0
518,523.0,0,0,0,0,0,1
519,993.0,0,0,0,0,1,0
520,1237.0,0,0,0,0,0,0
521,242.0,0,0,0,0,0,0
522,469.0,0,0,0,0,1,0
523,282.0,0,0,0,0,1,0
524,62.0,0,0,0,0,0,1
525,155.0,0,0,0,0,0,1
526,29.0,1,0,0,0,0,0
527,88.0,0,0,0,0,0,1
528,126.0,0,0,0,0,0,1
529,139.0,1,0,0,0,0,0
530,13.0,0,0,0,0,0,1
531,302.0,0,0,0,0,1,0
532,154.0,0,0,1,0,0,0
533,13.0,0,0,0,0,0,1
534,137.0,0,0,0,0,1,0
535,60.0,0,0,0,0,0,1
536,6.0,0,0,0,0,0,1
537,2645.0,0,0,0,0,0,0
538,221.0,1,0,0,0,0,0
539,322.0,1,0,0,0,0,0
540,1676.0,0,0,0,0,0,0
541,95.0,0,0,0,0,0,1
542,313.0,0,0,0,0,0,0
543,213.0,0,0,0,0,1,0
544,16.0,0,0,0,0,0,1
545,49.0,0,0,0,0,0,1
546,593.0,0,0,0,0,1,0
547,166.0,1,0,0,0,0,0
548,30.0,0,0,0,0,0,1
549,93.0,0,0,0,0,0,1
550,379.0,0,0,0,0,1,0
551,90.0,0,0,0,0,1,0
552,117.0,0,0,0,0,0,1
553,1028.0,0,0,0,1,0,0
554,907.0,0,0,0,0,1,0
555,172.0,0,0,0,0,0,1
556,241.0,0,0,0,0,0,0
557,437.0,0,0,1,0,0,0
558,345.0,1,0,0,0,0,0
559,359.0,1,0,0,0,0,0
560,309.0,0,0,0,0,0,0
561,138.0,1,0,0,0,0,0
562,458.0,0,0,0,0,1,0
563,574.0,0,0,0,0,0,0
564,16.0,0,0,0,0,0,1
565,1412.0,0,0,1,0,0,0
566,40.0,0,0,0,0,0,1
567,403.0,0,0,0,0,0,0
568,19.0,0,0,0,0,0,1
569,299.0,0,0,0,0,1,0
570,84.0,1,0,0,0,0,0
571,1214.0,0,0,0,0,1,0
572,2.0,1,0,0,0,0,0
573,1329.0,0,0,0,0,1,0
574,231.0,0,0,0,0,0,1
575,74.0,0,0,0,0,0,1
576,174.0,0,0,0,0,1,0
577,405.0,0,0,0,0,0,0
578,117.0,0,0,0,0,0,1
579,208.0,0,0,0,0,0,0
580,2439.0,0,0,0,0,0,0
581,96.0,0,0,0,0,0,0
582,19.0,0,0,0,0,0,1
583,369.0,0,0,0,0,1,0
584,89.0,0,0,0,0,0,1
585,342.0,0,1,0,0,0,0
586,52.0,0,0,0,0,0,1
587,734.0,0,0,0,0,0,0
588,1050.0,0,0,0,0,0,1
589,55.0,0,0,0,0,0,1
590,328.0,0,0,0,0,0,0
591,122.0,0,0,0,0,0,1
592,380.0,0,0,0,0,1,0
593,234.0,1,0,0,0,0,0
594,228.0,0,0,0,0,1,0
595,449.0,0,0,0,0,0,1
596,2294.0,1,0,0,0,0,0
597,1698.0,0,0,0,0,0,0
598,63.0,0,0,0,0,0,1
599,330.0,0,0,0,0,1,0
600,222.0,1,0,0,0,0,0
601,124.0,0,0,0,0,0,1
602,1291.0,0,0,0,0,1,0
603,967.0,0,0,0,0,0,1
604,955.0,1,0,0,0,0,0
605,318.0,1,0,0,0,0,0
606,261.0,0,0,0,0,0,0
607,258.0,0,0,0,0,0,0
608,2219.0,0,0,0,0,0,0
609,315.0,1,0,0,0,0,0
610,210.0,0,0,1,0,0,0
611,1448.0,0,0,0,0,0,1
612,1009.0,0,0,0,0,0,1
613,252.0,0,0,0,0,1,0
614,81.0,0,0,0,0,0,1
615,1300.0,1,0,0,0,0,0
616,26.0,0,0,0,0,0,1
617,285.0,0,0,0,0,0,1
